observation,datetime,prediction
3837.424758290591,2015-12-19,4574.9795
3795.339354559325,2015-12-20,4371.0757
3691.050704313848,2015-12-21,4168.482
3615.4135735140003,2015-12-22,3978.4133
3540.489723891389,2015-12-23,3851.4287
3619.1905,2015-12-24,3798.874
3379.501889308534,2015-12-25,3788.2336
3320.0113970865045,2015-12-26,3817.7969
3306.8566031105993,2015-12-27,3890.0605
3353.0023175213014,2015-12-28,4048.1328
3386.141611750725,2015-12-29,4329.112
3339.788137119729,2015-12-30,4614.2295
3247.954299514812,2015-12-31,4557.8774
3176.6173907979933,2016-01-01,4189.51
3176.6173907979933,2016-01-02,3809.2524
3183.0727667363776,2016-01-03,3538.5337
3234.9303427955188,2016-01-04,3367.4424
3306.8566031105993,2016-01-05,3249.1204
3353.0023175212987,2016-01-06,3166.1292
3399.438844698634,2016-01-07,3125.5002
3432.785642081499,2016-01-08,3120.0247
3574.457510447083,2016-01-09,3128.93
3594.909001475441,2016-01-10,3126.4539
3513.421796298516,2016-01-11,3082.3390000000004
3419.4291486189827,2016-01-12,3002.7454
3386.141611750725,2016-01-13,2923.359000000001
3326.5977049468147,2016-01-14,2856.2974
3280.6183318593903,2016-01-15,2791.011
3221.930202521925,2016-01-16,2730.2542
3099.618373196342,2016-01-17,2689.6658
3080.5030276303332,2016-01-18,2679.5908
3150.855536530437,2016-01-19,2693.8076
3170.1679787175417,2016-01-20,2707.9065
3131.596808388021,2016-01-21,2735.4558
3080.5030276303332,2016-01-22,2770.2056
3017.1741013434234,2016-01-23,2777.1533
2973.2002830250044,2016-01-24,2774.2864
2935.7424028323876,2016-01-25,2781.5063
2855.3257719607814,2016-01-26,2771.9722
2794.159144406402,2016-01-27,2721.3704
2794.159144406402,2016-01-28,2618.8972
2812.445839210737,2016-01-29,2502.922
2830.7867996416408,2016-01-30,2405.7947
2800.2486778644225,2016-01-31,2327.308
2763.801996551661,2016-02-01,2272.8208
2739.624972811954,2016-02-02,2248.7173
2794.159144406402,2016-02-03,2235.6863
2948.204349902485,2016-02-04,2220.3638
3196.0014058341103,2016-02-05,2211.407
3412.759788102271,2016-02-06,2212.6704
3581.268774553856,2016-02-07,2246.648
3774.3758736073787,2016-02-08,2325.5625
3979.2327488193077,2016-02-09,2450.3577
4079.889734326637,2016-02-10,2592.7769
4065.4401313868248,2016-02-11,2663.7437
3929.333648870645,2016-02-12,2598.4355
3697.9621304387615,2016-02-13,2475.5486
3466.280499850867,2016-02-14,2401.407
3287.168982425862,2016-02-15,2351.5205
3183.0727667363776,2016-02-16,2257.0916
3086.868830608404,2016-02-17,2129.7024
2923.304480947069,2016-02-18,2033.5007
2794.159144406402,2016-02-19,1993.5258
2685.5803460812767,2016-02-20,1984.6069
2632.026142063973,2016-02-21,1973.8954
2614.283876890505,2016-02-22,1943.247
2614.283876890505,2016-02-23,1894.5907
2590.7124986897556,2016-02-24,1837.4725
2549.6964915191243,2016-02-25,1777.4585
2514.7771319333465,2016-02-26,1721.456
2497.3996564975737,2016-02-27,1679.6902
2526.392570022856,2016-02-28,1661.6146
2503.186055729945,2016-02-29,1660.997
2468.5590998077914,2016-03-01,1651.7853
2405.6469574960447,2016-03-02,1612.1981
2382.9531687975505,2016-03-03,1553.7979
2343.474710282177,2016-03-04,1513.575
2309.875054618025,2016-03-05,1510.0684
2293.1580609641946,2016-03-06,1515.4269
2265.419246873262,2016-03-07,1495.6935
2287.5980103696315,2016-03-08,1445.4415
2354.723643472926,2016-03-09,1392.8069
2561.384954828805,2016-03-10,1354.8752
2733.59582327128,2016-03-11,1320.1066
2910.890593420331,2016-03-12,1283.5945
3048.763740342261,2016-03-13,1251.8749
3157.287050491688,2016-03-14,1231.9197
3144.4299907954305,2016-03-15,1218.0364
3042.433836205695,2016-03-16,1200.7788
2929.520438168849,2016-03-17,1180.0144
2806.3442431922813,2016-03-18,1163.6752
2733.59582327128,2016-03-19,1157.257
2697.547912004101,2016-03-20,1161.2708
2649.822997342731,2016-03-21,1174.0198
2632.026142063973,2016-03-22,1194.6636
2661.717879028689,2016-03-23,1225.3773
2685.5803460812767,2016-03-24,1266.4572
2727.5727186806075,2016-03-25,1308.2563
2763.801996551661,2016-03-26,1334.1484
2788.0756439990932,2016-03-27,1335.7087
2867.6313906804467,2016-03-28,1323.6216
3004.580178642671,2016-03-29,1315.1168
3157.287050491688,2016-03-30,1313.0858
3320.0113970865045,2016-03-31,1316.6473
3366.240237720789,2016-04-01,1335.2495
3366.240237720789,2016-04-02,1374.0985
3366.240237720789,2016-04-03,1421.8445
3432.785642081499,2016-04-04,1466.4213
3499.923288789403,2016-04-05,1510.18
3547.2714732951345,2016-04-06,1562.2366
3567.6521472559602,2016-04-07,1612.3347
3533.7138804718325,2016-04-08,1630.2069
3419.4291486189827,2016-04-09,1582.9485
3346.3922593193483,2016-04-10,1468.2672
3333.189951976941,2016-04-11,1325.2269
3366.240237720789,2016-04-12,1195.9164
3372.868097615911,2016-04-13,1117.7876
3412.759788102271,2016-04-14,1080.5232
3426.10443362501,2016-04-15,1067.5841
3439.472772950887,2016-04-16,1081.1383
3452.864797784488,2016-04-17,1097.7028
3486.448429710543,2016-04-18,1079.9115
3526.943944053865,2016-04-19,1048.5062
3499.923288789403,2016-04-20,1032.8375
3432.785642081499,2016-04-21,1026.5038
3399.438844698634,2016-04-22,1023.3947
3379.501889308534,2016-04-23,1042.8494
3379.501889308534,2016-04-24,1090.5283
3406.0963531150105,2016-04-25,1134.586
3426.10443362501,2016-04-26,1166.6476
3392.7872638958665,2016-04-27,1194.4529
3306.8566031105993,2016-04-28,1219.6967
3280.6183318593903,2016-04-29,1232.1871
3138.0104143822778,2016-04-30,1243.3893
2979.464267780284,2016-05-01,1231.1414
2855.3257719607814,2016-05-02,1188.9768
2818.5534647421755,2016-05-03,1181.011
2879.961085349403,2016-05-04,1252.3477
2855.3257719607814,2016-05-05,1360.8622
2830.7867996416408,2016-05-06,1449.7289
2830.7867996416408,2016-05-07,1561.0577
2910.890593420331,2016-05-08,1706.5332
2935.7424028323876,2016-05-09,1843.2811
2941.9703737917384,2016-05-10,1980.2083
3061.4415052839504,2016-05-11,2129.3306
3157.287050491688,2016-05-12,2307.3062
3183.0727667363776,2016-05-13,2406.3267
3208.953887319076,2016-05-14,2358.0122
3254.475206352289,2016-05-15,2268.499
3306.8566031105993,2016-05-16,2232.6094
3320.0113970865045,2016-05-17,2228.763
3346.3922593193483,2016-05-18,2185.3994
3379.501889308534,2016-05-19,2059.4958
3379.501889308534,2016-05-20,1942.505
3326.5977049468147,2016-05-21,1931.8551
3241.439344637656,2016-05-22,2020.2412
3313.431029454492,2016-05-23,2197.413
3353.0023175213014,2016-05-24,2448.605
3513.421796298516,2016-05-25,2915.277
3642.835526465136,2016-05-26,3525.24
3844.4595196838786,2016-05-27,3926.357
4036.610929167681,2016-05-28,4350.849
4189.004717534123,2016-05-29,4985.3125
4509.044730263517,2016-05-30,5439.0176
4754.152759682312,2016-05-31,5939.538000000001
4730.923259684279,2016-06-01,6439.4277
4592.634577136968,2016-06-02,6671.0825
4373.770186571594,2016-06-03,6503.1543
4314.250520137999,2016-06-04,6233.175
4351.406826151235,2016-06-05,6055.593000000002
4388.7080690023695,2016-06-06,6049.536999999998
4343.9639664325705,2016-06-07,6216.6406
4292.026352697581,2016-06-08,6459.5015
4351.406826151235,2016-06-09,6732.95
4366.309937111781,2016-06-10,6961.058000000001
4381.2362308313295,2016-06-11,7154.769
4554.552581810757,2016-06-12,7443.8286
4981.369927947486,2016-06-13,7447.5347
5533.009706675641,2016-06-14,6953.6055
5861.245169990176,2016-06-15,6630.9336
5852.721446430004,2016-06-16,6647.6323
5708.682435646386,2016-06-17,6896.7075
5458.486916927152,2016-06-18,7220.8319999999985
5245.7854932294895,2016-06-19,7458.4565
5100.787371782424,2016-06-20,7576.2847
5237.6815420474595,2016-06-21,7672.3696
5475.0077931279575,2016-06-22,8074.6274
5869.774537807383,2016-06-23,8657.972
6233.09506774823,2016-06-24,8683.686
6356.40488264242,2016-06-25,8661.888
6805.748970888416,2016-06-26,9140.465
7156.566396369907,2016-06-27,9949.294
9534.516066867442,2016-06-28,11190.132
13324.309230537963,2016-06-29,13019.043
