observation,datetime,prediction
11704.8157459351,2016-11-17,10024.072
11566.249733503333,2016-11-18,9766.304
11428.121763303732,2016-11-19,9602.146
11405.143196240257,2016-11-20,9630.644
11428.121763303732,2016-11-21,9846.132
11497.13083873991,2016-11-22,9886.222
11497.130838739904,2016-11-23,9586.309
11382.17687752057,2016-11-24,9462.685
11061.941052957223,2016-11-25,10270.273
10653.792706262791,2016-11-26,12001.807
10115.982599916497,2016-11-27,13231.066
9629.543828488811,2016-11-28,12710.575
9192.894118248394,2016-11-29,10888.345
8633.375483708298,2016-11-30,9241.515
8357.138470492158,2016-12-01,8301.284
8062.333385594167,2016-12-02,8135.432
7770.3548070535435,2016-12-03,8435.389000000001
7708.1604147079415,2016-12-04,8948.143
7791.115640918234,2016-12-05,9448.992
7728.877175447237,2016-12-06,9793.44
7584.169796221774,2016-12-07,9986.6
7501.805952866964,2016-12-08,9896.26
7296.943286019488,2016-12-09,9428.98
7134.140371801845,2016-12-10,8731.03
7134.140371801845,2016-12-11,8028.6445
6972.315042568101,2016-12-12,7462.246
6751.420975164731,2016-12-13,7097.7036
6811.4779117038615,2016-12-14,6935.888000000001
7012.6791508947335,2016-12-15,6823.523
7235.778294036782,2016-12-16,6724.8003
7915.987740720771,2016-12-17,7236.5073
7791.115640918234,2016-12-18,7560.0054
7256.151478372487,2016-12-19,8512.597
6891.772277428492,2016-12-20,9920.384
6453.264507396452,2016-12-21,11379.001
6315.353151810313,2016-12-22,11620.913
6041.916638718702,2016-12-23,9965.513
5964.383571177722,2016-12-24,7637.5459999999985
5945.041784763957,2016-12-25,6222.9717
5945.041784763957,2016-12-26,5748.7505
5964.383571177722,2016-12-27,5630.2363
5714.245863804997,2016-12-28,5318.0254
5448.073451687872,2016-12-29,4896.339
5466.973958005705,2016-12-30,4592.311
5448.073451687872,2016-12-31,4402.1724
5448.073451687872,2017-01-01,4264.194
5504.82688024266,2017-01-02,4164.121
5429.190286182105,2017-01-03,4111.568
5241.318673819331,2017-01-04,4108.5356
5278.7526593649045,2017-01-05,4063.3975
5297.496067432939,2017-01-06,3953.2517
5372.645118698058,2017-01-07,3872.4236
5278.752659364907,2017-01-08,3828.2703
5260.026851674268,2017-01-09,3747.9937
5203.955326084028,2017-01-10,3589.8467
5185.3002157571755,2017-01-11,3413.7505
5110.857565557235,2017-01-12,3281.817
5055.213108780004,2017-01-13,3195.641
5055.213108780004,2017-01-14,3118.693
5018.206565163506,2017-01-15,3043.0278
5018.206565163506,2017-01-16,2976.3862
5055.213108780004,2017-01-17,2929.1182
5129.4414989771085,2017-01-18,2897.322
5185.3002157571755,2017-01-19,2894.9565
5129.4414989771085,2017-01-20,2944.8772
4999.730314741988,2017-01-21,3060.1443
5055.213108780004,2017-01-22,3265.7954
4761.193744597408,2017-01-23,3343.4355
4543.776199412183,2017-01-24,3174.6533
4418.20148257421,2017-01-25,3024.03
4761.193744597408,2017-01-26,2964.1658
4597.87795299526,2017-01-27,2934.699
4507.802740653228,2017-01-28,2950.6108
4222.769371568386,2017-01-29,3023.7964
4099.631968866844,2017-01-30,3110.5625
3942.7417585009453,2017-01-31,3191.4640000000004
3890.80697828118,2017-02-01,3318.752
4012.270616360626,2017-02-02,3523.1865
4082.1198902970204,2017-02-03,3655.6797
4222.769371568386,2017-02-04,3724.1992
4293.564552411065,2017-02-05,3837.131
4329.078678196862,2017-02-06,3920.9873
4364.670092968438,2017-02-07,3916.366
4329.078678196862,2017-02-08,3815.849
4134.7155575544875,2017-02-09,3680.2803
3960.093790164724,2017-02-10,3389.7964
3821.845251590065,2017-02-11,2943.2078
3770.3389442591133,2017-02-12,2546.617
3736.1044355934655,2017-02-13,2280.9253
3684.908103980247,2017-02-14,2116.4355
3633.899370794436,2017-02-15,2018.4458
3599.998378870821,2017-02-16,1957.0858
3515.6155177329024,2017-02-17,1921.591
3465.2411489434858,2017-02-18,1897.2242
3532.4496594051534,2017-02-19,1869.5502
3650.8813618001836,2017-02-20,1827.3502
3719.018222817857,2017-02-21,1774.236
3736.1044355934655,2017-02-22,1735.5538
3856.2853089581704,2017-02-23,1704.1129
4047.155364581921,2017-02-24,1664.3165
4099.631968866844,2017-02-25,1629.3281
4134.7155575544875,2017-02-26,1603.7854
4258.128015802442,2017-02-27,1595.7175
4311.3119354886685,2017-02-28,1626.8601
4346.864743105279,2017-03-01,1670.567
4471.905113379817,2017-03-02,1657.0201
4579.825206535198,2017-03-03,1599.6409
4706.5876499682845,2017-03-04,1521.1212
4652.148746811502,2017-03-05,1461.7665
4597.87795299526,2017-03-06,1439.2478
4436.083603448309,2017-03-07,1424.1132
4346.864743105279,2017-03-08,1403.8287
4418.20148257421,2017-03-09,1390.5254
4561.791277017594,2017-03-10,1374.4069
4634.039757691299,2017-03-11,1345.9187
4742.973192355492,2017-03-12,1314.6766
4797.690244339275,2017-03-13,1288.5099
4815.966125564226,2017-03-14,1270.9796
4852.572986172234,2017-03-15,1267.4905
4834.260383761692,2017-03-16,1275.1755
4907.620533319895,2017-03-17,1282.0674
4852.572986172234,2017-03-18,1306.3228
4634.039757691299,2017-03-19,1343.1406
4615.949481593795,2017-03-20,1397.3214
4688.422727023699,2017-03-21,1495.4001
4724.771149638335,2017-03-22,1612.7134
4779.432772996596,2017-03-23,1762.4208
4815.966125564226,2017-03-24,1890.495
4834.260383761693,2017-03-25,1980.0863
4962.8320132481895,2017-03-26,2010.3473
5036.7008402348965,2017-03-27,2046.3506
4981.272120285301,2017-03-28,2320.4182
4962.8320132481895,2017-03-29,2552.195
5036.7008402348965,2017-03-30,2615.782
5148.043272037578,2017-03-31,2551.8838
5092.291502274767,2017-04-01,2442.7666
5166.662854374839,2017-04-02,2390.1592
5036.7008402348965,2017-04-03,2476.301
4926.006187956701,2017-04-04,2583.5369
4926.006187956701,2017-04-05,2633.4905
5092.291502274767,2017-04-06,2848.6028
5018.206565163506,2017-04-07,3166.1057
4981.272120285299,2017-04-08,3053.423
4981.272120285299,2017-04-09,3054.061
5073.743339760467,2017-04-10,2653.572
5241.318673819329,2017-04-11,2448.4734
5335.035567496134,2017-04-12,2424.6353
5429.190286182105,2017-04-13,2369.2522
5372.645118698058,2017-04-14,2201.8074
