discharge,datetime
3740.0,1965-01-22
3680.0,1965-01-23
3550.0,1965-01-24
3430.0,1965-01-25
3300.0,1965-01-26
3180.0,1965-01-27
3080.0,1965-01-28
2980.0,1965-01-29
2960.0,1965-01-30
2900.0,1965-01-31
2760.0,1965-02-01
2700.0,1965-02-02
2650.0,1965-02-03
2560.0,1965-02-04
2480.0,1965-02-05
2410.0,1965-02-06
2350.0,1965-02-07
2290.0,1965-02-08
2230.0,1965-02-09
2150.0,1965-02-10
2070.0,1965-02-11
1980.0,1965-02-12
1900.0,1965-02-13
1850.0,1965-02-14
1790.0,1965-02-15
1770.0,1965-02-16
1740.0,1965-02-17
1650.0,1965-02-18
1550.0,1965-02-19
1500.0,1965-02-20
1480.0,1965-02-21
1400.0,1965-02-22
1330.0,1965-02-23
1250.0,1965-02-24
1180.0,1965-02-25
1100.0,1965-02-26
1040.0,1965-02-27
1040.0,1965-02-28
1000.0,1965-03-01
990.0,1965-03-02
980.0,1965-03-03
970.0,1965-03-04
960.0,1965-03-05
950.0,1965-03-06
940.0,1965-03-07
930.0,1965-03-08
920.0,1965-03-09
910.0,1965-03-10
900.0,1965-03-11
890.0,1965-03-12
880.0,1965-03-13
870.0,1965-03-14
860.0,1965-03-15
850.0,1965-03-16
830.0,1965-03-17
815.0,1965-03-18
800.0,1965-03-19
790.0,1965-03-20
770.0,1965-03-21
755.0,1965-03-22
740.0,1965-03-23
720.0,1965-03-24
710.0,1965-03-25
690.0,1965-03-26
680.0,1965-03-27
660.0,1965-03-28
640.0,1965-03-29
630.0,1965-03-30
610.0,1965-03-31
600.0,1965-04-01
590.0,1965-04-02
580.0,1965-04-03
570.0,1965-04-04
560.0,1965-04-05
550.0,1965-04-06
540.0,1965-04-07
530.0,1965-04-08
520.0,1965-04-09
510.0,1965-04-10
500.0,1965-04-11
490.0,1965-04-12
480.0,1965-04-13
470.0,1965-04-14
460.0,1965-04-15
460.0,1965-04-16
460.0,1965-04-17
450.0,1965-04-18
450.0,1965-04-19
450.0,1965-04-20
440.0,1965-04-21
440.0,1965-04-22
440.0,1965-04-23
430.0,1965-04-24
430.0,1965-04-25
430.0,1965-04-26
430.0,1965-04-27
420.0,1965-04-28
420.0,1965-04-29
420.0,1965-04-30
410.0,1965-05-01
410.0,1965-05-02
410.0,1965-05-03
410.0,1965-05-04
400.0,1965-05-05
400.0,1965-05-06
400.0,1965-05-07
400.0,1965-05-08
400.0,1965-05-09
400.0,1965-05-10
390.0,1965-05-11
390.0,1965-05-12
390.0,1965-05-13
390.0,1965-05-14
380.0,1965-05-15
380.0,1965-05-16
380.0,1965-05-17
370.0,1965-05-18
370.0,1965-05-19
370.0,1965-05-20
360.0,1965-05-21
360.0,1965-05-22
360.0,1965-05-23
350.0,1965-05-24
350.0,1965-05-25
350.0,1965-05-26
340.0,1965-05-27
350.0,1965-05-28
400.0,1965-05-29
470.0,1965-05-30
550.0,1965-05-31
740.0,1965-06-01
770.0,1965-06-02
760.0,1965-06-03
800.0,1965-06-04
840.0,1965-06-05
860.0,1965-06-06
870.0,1965-06-07
870.0,1965-06-08
900.0,1965-06-09
900.0,1965-06-10
500.0,1965-06-11
800.0,1965-09-21
1200.0,1965-09-22
2220.0,1965-09-23
2250.0,1965-09-24
2850.0,1965-09-25
2800.0,1965-09-26
3130.0,1965-09-27
4000.0,1965-09-28
4200.0,1965-09-29
4550.0,1965-09-30
4950.0,1965-10-01
5180.0,1965-10-02
4650.0,1965-10-03
5000.0,1965-10-04
4880.0,1965-10-05
4880.0,1965-10-06
5400.0,1965-10-07
5560.0,1965-10-08
5670.0,1965-10-09
6080.0,1965-10-10
5900.0,1965-10-11
6450.0,1965-10-12
7130.0,1965-10-13
7360.0,1965-10-14
7500.0,1965-10-15
7600.0,1965-10-16
7850.0,1965-10-17
7850.0,1965-10-18
7650.0,1965-10-19
7750.0,1965-10-20
7880.0,1965-10-21
7820.0,1965-10-22
7790.0,1965-10-23
7690.0,1965-10-24
7800.0,1965-10-25
7940.0,1965-10-26
7960.0,1965-10-27
8080.0,1965-10-28
8120.0,1965-10-29
8190.0,1965-10-30
8150.0,1965-10-31
8380.0,1965-11-01
8440.0,1965-11-02
8350.0,1965-11-03
8430.0,1965-11-04
6950.0,1965-11-05
6100.0,1965-11-06
5920.0,1965-11-07
6120.0,1965-11-08
6280.0,1965-11-09
6300.0,1965-11-10
6200.0,1965-11-11
6200.0,1965-11-12
5840.0,1965-11-13
5600.0,1965-11-14
5380.0,1965-11-15
5350.0,1965-11-16
5650.0,1965-11-17
5960.0,1965-11-18
6150.0,1965-11-19
6350.0,1965-11-20
6450.0,1965-11-21
6760.0,1965-11-22
6880.0,1965-11-23
6970.0,1965-11-24
7000.0,1965-11-25
6600.0,1965-11-26
7250.0,1965-11-27
6650.0,1965-11-28
6570.0,1965-11-29
6680.0,1965-11-30
6550.0,1965-12-01
6600.0,1965-12-02
6560.0,1965-12-03
6400.0,1965-12-04
6280.0,1965-12-05
6220.0,1965-12-06
6220.0,1965-12-07
6180.0,1965-12-08
6100.0,1965-12-09
6050.0,1965-12-10
5900.0,1965-12-11
5750.0,1965-12-12
5600.0,1965-12-13
5680.0,1965-12-14
5580.0,1965-12-15
5550.0,1965-12-16
5550.0,1965-12-17
5600.0,1965-12-18
5510.0,1965-12-19
5330.0,1965-12-20
5280.0,1965-12-21
5050.0,1965-12-22
4900.0,1965-12-23
4800.0,1965-12-24
4620.0,1965-12-25
4370.0,1965-12-26
4350.0,1965-12-27
4350.0,1965-12-28
4400.0,1965-12-29
4280.0,1965-12-30
4150.0,1965-12-31
4080.0,1966-01-01
4030.0,1966-01-02
3630.0,1966-01-03
3580.0,1966-01-04
3500.0,1966-01-05
3280.0,1966-01-06
3260.0,1966-01-07
3400.0,1966-01-08
3270.0,1966-01-09
3280.0,1966-01-10
3140.0,1966-01-11
3060.0,1966-01-12
2960.0,1966-01-13
2960.0,1966-01-14
2760.0,1966-01-15
2710.0,1966-01-16
2650.0,1966-01-17
2700.0,1966-01-18
2630.0,1966-01-19
2300.0,1966-01-20
2340.0,1966-01-21
2350.0,1966-01-22
2330.0,1966-01-23
2170.0,1966-01-24
2160.0,1966-01-25
1990.0,1966-01-26
1960.0,1966-01-27
1860.0,1966-01-28
1900.0,1966-01-29
1910.0,1966-01-30
1720.0,1966-01-31
1520.0,1966-02-01
1520.0,1966-02-02
1580.0,1966-02-03
1690.0,1966-02-04
1660.0,1966-02-05
1420.0,1966-02-06
1520.0,1966-02-07
