discharge,datetime
85.0,1967-03-31
71.0,1967-04-01
70.0,1967-04-02
69.0,1967-04-03
71.0,1967-04-04
68.5,1967-04-05
68.5,1967-04-06
67.5,1967-04-07
68.0,1967-04-08
69.0,1967-04-09
71.0,1967-04-10
73.0,1967-04-11
71.0,1967-04-12
76.0,1967-04-13
76.0,1967-04-14
72.0,1967-04-15
69.0,1967-04-16
68.0,1967-04-17
80.0,1967-04-18
83.0,1967-04-19
227.0,1967-04-20
252.0,1967-04-21
241.0,1967-04-22
255.0,1967-04-23
241.0,1967-04-24
241.0,1967-04-25
248.0,1967-04-26
269.0,1967-04-27
283.0,1967-04-28
302.0,1967-04-29
306.0,1967-04-30
280.0,1967-05-01
272.0,1967-05-02
266.0,1967-05-03
248.0,1967-05-04
314.0,1967-05-05
310.0,1967-05-06
286.0,1967-05-07
269.0,1967-05-08
272.0,1967-05-09
283.0,1967-05-11
286.0,1967-05-12
269.0,1967-05-13
252.0,1967-05-14
255.0,1967-05-15
310.0,1967-05-16
330.0,1967-05-17
344.0,1967-05-18
339.0,1967-05-19
352.0,1967-05-20
330.0,1967-05-21
310.0,1967-05-22
306.0,1967-05-23
290.0,1967-05-24
272.0,1967-05-25
262.0,1967-05-26
244.0,1967-05-27
290.0,1967-05-28
294.0,1967-05-29
348.0,1967-05-30
398.0,1967-05-31
470.0,1967-06-01
465.0,1967-06-02
398.0,1967-06-03
530.0,1967-06-04
1050.0,1967-06-05
996.0,1967-06-06
984.0,1967-06-07
1060.0,1967-06-08
1110.0,1967-06-09
930.0,1967-06-10
1730.0,1967-06-11
2150.0,1967-06-12
1690.0,1967-06-13
1250.0,1967-06-14
972.0,1967-06-15
840.0,1967-06-16
715.0,1967-06-17
760.0,1967-06-18
710.0,1967-06-19
700.0,1967-06-20
620.0,1967-06-21
615.0,1967-06-22
585.0,1967-06-23
560.0,1967-06-24
580.0,1967-06-25
610.0,1967-06-26
650.0,1967-06-27
710.0,1967-06-28
840.0,1967-06-29
910.0,1967-06-30
900.0,1967-07-01
910.0,1967-07-02
850.0,1967-07-03
850.0,1967-07-04
810.0,1967-07-05
